n_estimators,max_depth,Mean CV F1-wt,Std CV F1-wt
100,25,0.9982527786498234,0.0014425314279023292
100,20,0.9982527786498234,0.0014425314279023292
150,20,0.9982523132048332,0.0014423705357080316
200,25,0.9982523132048332,0.0014423705357080316
150,25,0.9982523132048332,0.0014423705357080316
200,20,0.9982523132048332,0.0014423705357080316
250,20,0.9982523132048332,0.0014423705357080316
250,25,0.9981278937745545,0.001474312771143221
100,15,0.9978797424556631,0.0014529836526115502
200,15,0.9977544036427807,0.0013417080945945367
150,15,0.997629756453289,0.001330556454326415
250,15,0.9975060155136403,0.0013639192371645563
100,10,0.9934346375935789,0.0011309654120243583
150,10,0.9933123798606432,0.0012440362138028342
250,10,0.9933123798606432,0.0012440362138028342
200,10,0.9931903259781192,0.0013910421991018326
